timestamp,relay,slot
2023-05-09,agnostic Gnosis,1772
2023-08-18,bloxroute (regulated),1770
2023-04-07,agnostic Gnosis,1769
2023-08-31,agnostic Gnosis,1766
2023-09-16,agnostic Gnosis,1766
2023-08-10,agnostic Gnosis,1759
2023-09-15,agnostic Gnosis,1755
2023-05-10,flashbots,1753
2023-09-09,agnostic Gnosis,1751
2023-07-01,agnostic Gnosis,1748
2023-04-17,ultrasound,1743
2023-05-13,flashbots,1741
2023-04-19,ultrasound,1740
2023-08-18,agnostic Gnosis,1740
2023-02-09,bloxroute (max profit),1738
2023-07-29,agnostic Gnosis,1738
2023-07-30,agnostic Gnosis,1735
2023-04-04,agnostic Gnosis,1732
2023-05-21,flashbots,1730
2023-05-20,flashbots,1728
2023-03-26,flashbots,1726
2023-09-07,agnostic Gnosis,1726
2023-08-25,bloxroute (regulated),1722
2022-09-22,flashbots,1718
2023-08-02,agnostic Gnosis,1718
2023-07-05,bloxroute (max profit),1717
2023-05-16,flashbots,1714
2023-04-13,ultrasound,1711
2023-08-01,agnostic Gnosis,1711
2023-05-04,agnostic Gnosis,1710
2023-05-14,agnostic Gnosis,1707
2023-05-26,agnostic Gnosis,1695
2023-03-15,agnostic Gnosis,1694
2023-04-04,flashbots,1692
2023-03-05,bloxroute (max profit),1688
2023-04-21,ultrasound,1688
2023-05-27,agnostic Gnosis,1688
2023-04-05,ultrasound,1685
2023-08-26,agnostic Gnosis,1685
2023-04-14,flashbots,1682
2023-04-05,flashbots,1680
2023-06-29,bloxroute (max profit),1677
2023-05-23,agnostic Gnosis,1674
2023-03-26,agnostic Gnosis,1673
2023-08-16,bloxroute (regulated),1673
2023-08-17,bloxroute (regulated),1670
2023-05-09,flashbots,1668
2023-05-22,agnostic Gnosis,1668
2023-04-01,flashbots,1667
2023-09-10,agnostic Gnosis,1666
2023-08-29,bloxroute (regulated),1664
2023-03-06,bloxroute (max profit),1662
2023-08-04,agnostic Gnosis,1662
2023-06-25,bloxroute (max profit),1661
2023-03-18,bloxroute (max profit),1660
2023-03-17,flashbots,1658
2023-04-30,agnostic Gnosis,1657
2023-08-03,agnostic Gnosis,1657
2023-08-28,bloxroute (regulated),1655
2023-09-02,agnostic Gnosis,1650
2023-05-06,agnostic Gnosis,1648
2023-08-27,agnostic Gnosis,1647
2023-08-31,bloxroute (regulated),1644
2023-05-22,flashbots,1642
2023-04-28,agnostic Gnosis,1641
2023-05-19,agnostic Gnosis,1641
2023-05-15,flashbots,1640
2023-07-06,bloxroute (max profit),1636
2023-07-04,bloxroute (max profit),1634
2023-03-16,ultrasound,1632
2023-05-31,agnostic Gnosis,1628
2023-04-12,agnostic Gnosis,1627
2023-02-13,bloxroute (max profit),1625
2023-04-25,agnostic Gnosis,1621
2023-07-13,bloxroute (max profit),1620
2023-05-14,flashbots,1618
2023-05-12,flashbots,1617
2023-08-21,bloxroute (regulated),1615
2023-05-11,flashbots,1614
2023-05-12,agnostic Gnosis,1611
2023-03-01,bloxroute (max profit),1607
2023-04-03,flashbots,1603
2023-06-29,agnostic Gnosis,1595
2023-02-15,bloxroute (max profit),1593
2023-03-21,bloxroute (max profit),1593
2023-04-23,agnostic Gnosis,1591
2023-03-25,agnostic Gnosis,1589
2023-08-10,bloxroute (regulated),1589
2023-03-29,flashbots,1588
2023-06-28,agnostic Gnosis,1586
2023-08-12,bloxroute (regulated),1580
2022-11-02,Other/None,1577
2023-03-14,ultrasound,1575
2023-05-08,agnostic Gnosis,1566
2023-06-14,agnostic Gnosis,1566
2023-04-22,agnostic Gnosis,1564
2023-06-30,bloxroute (max profit),1564
2023-02-08,bloxroute (max profit),1562
2023-09-03,agnostic Gnosis,1560
2023-02-14,bloxroute (max profit),1559
2023-07-17,agnostic Gnosis,1559
2023-04-29,agnostic Gnosis,1558
2023-08-14,bloxroute (regulated),1552
2023-03-19,bloxroute (max profit),1550
2023-05-11,agnostic Gnosis,1550
2023-05-30,agnostic Gnosis,1550
2023-06-17,agnostic Gnosis,1547
2023-09-07,bloxroute (regulated),1547
2023-06-24,bloxroute (max profit),1546
2023-09-04,bloxroute (regulated),1543
2023-02-24,bloxroute (max profit),1542
2023-05-28,agnostic Gnosis,1542
