date,censoring,Share_of_Blocks
2023-03-26,non-censoring,86.52126157225797
2023-03-26,censoring,13.478738427742037
2023-03-27,non-censoring,86.6382036685642
2023-03-27,censoring,13.3617963314358
2023-03-28,non-censoring,86.60009663391851
2023-03-28,censoring,13.399903366081494
2023-03-29,non-censoring,88.96928766682747
2023-03-29,censoring,11.030712333172536
2023-03-30,non-censoring,88.53947155130491
2023-03-30,censoring,11.460528448695088
2023-03-31,non-censoring,86.14037931593451
2023-03-31,censoring,13.859620684065488
2023-04-01,non-censoring,89.68188561068074
2023-04-01,censoring,10.318114389319268
2023-04-02,non-censoring,89.42543787853985
2023-04-02,censoring,10.57456212146014
2023-04-03,non-censoring,88.78080415045395
2023-04-03,censoring,11.219195849546045
2023-04-04,non-censoring,89.14350723224443
2023-04-04,censoring,10.856492767755567
2023-04-05,non-censoring,88.50941589530801
2023-04-05,censoring,11.490584104691989
2023-04-06,non-censoring,89.19220945083013
2023-04-06,censoring,10.80779054916986
2023-04-07,non-censoring,89.13111180317658
2023-04-07,censoring,10.868888196823418
2023-04-08,non-censoring,89.62629865095364
2023-04-08,censoring,10.373701349046364
2023-04-09,non-censoring,89.97256933861627
2023-04-09,censoring,10.027430661383724
2023-04-10,non-censoring,90.12102874432678
2023-04-10,censoring,9.878971255673221
2023-04-11,non-censoring,85.64836179049377
2023-04-11,censoring,14.351638209506229
2023-04-12,non-censoring,86.76286072772899
2023-04-12,censoring,13.237139272271017
2023-04-13,non-censoring,85.35531370038413
2023-04-13,censoring,14.644686299615877
2023-04-14,non-censoring,80.86093775004001
2023-04-14,censoring,19.13906224995999
2023-04-15,non-censoring,84.82912807409774
2023-04-15,censoring,15.170871925902269
2023-04-16,non-censoring,84.94558645707376
2023-04-16,censoring,15.05441354292624
2023-04-17,non-censoring,85.89841951818322
2023-04-17,censoring,14.101580481816786
2023-04-18,non-censoring,89.07332796132151
2023-04-18,censoring,10.926672038678484
2023-04-19,non-censoring,85.95280141274682
2023-04-19,censoring,14.04719858725317
2023-04-20,non-censoring,85.86640851887705
2023-04-20,censoring,14.133591481122942
2023-04-21,non-censoring,85.67457072771873
2023-04-21,censoring,14.325429272281276
2023-04-22,non-censoring,86.21696124533808
2023-04-22,censoring,13.783038754661911
2023-04-23,non-censoring,93.72641509433961
2023-04-23,censoring,6.273584905660377
2023-04-24,non-censoring,93.38909441852984
2023-04-24,censoring,6.6109055814701625
2023-04-25,non-censoring,93.8675517622886
2023-04-25,censoring,6.132448237711396
2023-04-26,non-censoring,93.73413705583756
2023-04-26,censoring,6.265862944162437
2023-04-27,non-censoring,94.47220487195503
2023-04-27,censoring,5.527795128044972
2023-04-28,non-censoring,93.99221789883269
2023-04-28,censoring,6.007782101167315
2023-04-29,non-censoring,93.77567140600316
2023-04-29,censoring,6.22432859399684
2023-04-30,non-censoring,93.90092879256966
2023-04-30,censoring,6.099071207430341
2023-05-01,non-censoring,94.04893449092344
2023-05-01,censoring,5.9510655090765585
2023-05-02,non-censoring,94.2754077791719
2023-05-02,censoring,5.7245922208281055
2023-05-03,non-censoring,94.30564568462037
2023-05-03,censoring,5.694354315379623
2023-05-04,non-censoring,94.35549086204108
2023-05-04,censoring,5.64450913795892
2023-05-05,non-censoring,94.61038961038962
2023-05-05,censoring,5.3896103896103895
2023-05-06,non-censoring,94.79666986871598
2023-05-06,censoring,5.203330131284021
2023-05-07,non-censoring,94.08047888260725
2023-05-07,censoring,5.91952111739275
2023-05-08,non-censoring,94.02814136125654
2023-05-08,censoring,5.971858638743456
2023-05-09,non-censoring,94.33278418451401
2023-05-09,censoring,5.667215815485997
2023-05-10,non-censoring,93.84386862518568
2023-05-10,censoring,6.156131374814326
2023-05-11,non-censoring,94.00761463333886
2023-05-11,censoring,5.992385366661149
2023-05-12,non-censoring,92.97832233741752
2023-05-12,censoring,7.021677662582469
2023-05-13,non-censoring,91.16764101753832
2023-05-13,censoring,8.832358982461685
2023-05-14,non-censoring,93.45004527618472
2023-05-14,censoring,6.549954723815272
2023-05-15,non-censoring,93.8032532920217
2023-05-15,censoring,6.196746707978312
2023-05-16,non-censoring,93.93414211438474
2023-05-16,censoring,6.065857885615252
2023-05-17,non-censoring,93.47622027534418
2023-05-17,censoring,6.523779724655821
2023-05-18,non-censoring,94.15818324197338
2023-05-18,censoring,5.841816758026625
2023-05-19,non-censoring,94.07442900495128
2023-05-19,censoring,5.925570995048714
2023-05-20,non-censoring,94.09132983647022
2023-05-20,censoring,5.908670163529775
2023-05-21,non-censoring,94.08007477800281
2023-05-21,censoring,5.919925221997196
2023-05-22,non-censoring,93.41354311275644
2023-05-22,censoring,6.58645688724356
2023-05-23,non-censoring,93.38246824525639
2023-05-23,censoring,6.617531754743609
2023-05-24,non-censoring,93.63636363636364
2023-05-24,censoring,6.363636363636363
2023-05-25,non-censoring,92.96482412060301
2023-05-25,censoring,7.035175879396985
2023-05-26,non-censoring,93.72358741587102
2023-05-26,censoring,6.276412584128972
2023-05-27,non-censoring,93.46254422396555
2023-05-27,censoring,6.537455776034457
2023-05-28,non-censoring,93.17163602657192
2023-05-28,censoring,6.828363973428086
2023-05-29,non-censoring,93.59875097580016
2023-05-29,censoring,6.401249024199844
2023-05-30,non-censoring,92.7508705286483
2023-05-30,censoring,7.249129471351694
2023-05-31,non-censoring,95.69993722536096
2023-05-31,censoring,4.300062774639046
2023-06-01,non-censoring,96.15686274509804
2023-06-01,censoring,3.8431372549019605
2023-06-02,non-censoring,96.1627727061736
2023-06-02,censoring,3.8372272938263965
2023-06-03,non-censoring,95.82362987113802
2023-06-03,censoring,4.176370128861978
2023-06-04,non-censoring,95.92128233613712
2023-06-04,censoring,4.078717663862879
2023-06-05,non-censoring,95.1923076923077
2023-06-05,censoring,4.807692307692308
2023-06-06,non-censoring,96.18142144638404
2023-06-06,censoring,3.81857855361596
2023-06-07,non-censoring,96.25255865218077
2023-06-07,censoring,3.7474413478192408
2023-06-08,non-censoring,96.04786647772005
2023-06-08,censoring,3.952133522279956
2023-06-09,non-censoring,95.91928251121075
2023-06-09,censoring,4.080717488789238
2023-06-10,non-censoring,96.10831606984314
2023-06-10,censoring,3.8916839301568507
2023-06-11,non-censoring,95.91595146493044
2023-06-11,censoring,4.084048535069548
2023-06-12,non-censoring,96.59721181232199
2023-06-12,censoring,3.4027881876780097
2023-06-13,non-censoring,96.15328785019597
2023-06-13,censoring,3.846712149804035
2023-06-14,non-censoring,96.8218773096822
2023-06-14,censoring,3.1781226903178124
2023-06-15,non-censoring,96.76000586424279
2023-06-15,censoring,3.2399941357572204
2023-06-16,non-censoring,96.41248874211948
2023-06-16,censoring,3.5875112578805166
2023-06-17,non-censoring,96.89759036144578
2023-06-17,censoring,3.102409638554217
2023-06-18,non-censoring,96.84317718940937
2023-06-18,censoring,3.1568228105906315
2023-06-19,non-censoring,96.72293942403178
2023-06-19,censoring,3.277060575968222
2023-06-20,non-censoring,93.28596287703016
2023-06-20,censoring,6.714037122969837
2023-06-21,non-censoring,93.9061814993424
2023-06-21,censoring,6.093818500657607
2023-06-22,non-censoring,94.19532723842693
2023-06-22,censoring,5.804672761573066
2023-06-23,non-censoring,93.53805850676757
2023-06-23,censoring,6.461941493232426
2023-06-24,non-censoring,93.75
2023-06-24,censoring,6.25
2023-06-25,non-censoring,93.3286418015482
2023-06-25,censoring,6.671358198451795
2023-06-26,non-censoring,93.46747519294377
2023-06-26,censoring,6.532524807056229
2023-06-27,non-censoring,93.46367917796489
2023-06-27,censoring,6.5363208220351074
2023-06-28,non-censoring,93.55203619909503
2023-06-28,censoring,6.4479638009049784
2023-06-29,non-censoring,93.7624950019992
2023-06-29,censoring,6.2375049980008
2023-06-30,non-censoring,93.39720352149146
2023-06-30,censoring,6.602796478508545
2023-07-01,non-censoring,93.73084780388152
2023-07-01,censoring,6.269152196118489
2023-07-02,non-censoring,94.02985074626866
2023-07-02,censoring,5.970149253731343
2023-07-03,non-censoring,93.0851719462591
2023-07-03,censoring,6.9148280537409095
2023-07-04,non-censoring,94.08635407645676
2023-07-04,censoring,5.913645923543239
2023-07-05,non-censoring,94.40884533232818
2023-07-05,censoring,5.591154667671818
2023-07-06,non-censoring,95.02464210279277
2023-07-06,censoring,4.975357897207228
2023-07-07,non-censoring,93.65509123013538
2023-07-07,censoring,6.3449087698646265
2023-07-08,non-censoring,93.95835840654712
2023-07-08,censoring,6.041641593452883
2023-07-09,non-censoring,94.61926495315878
2023-07-09,censoring,5.38073504684122
2023-07-10,non-censoring,94.0087792146162
2023-07-10,censoring,5.991220785383794
2023-07-11,non-censoring,93.59705393205037
2023-07-11,censoring,6.402946067949632
2023-07-12,non-censoring,93.50494577523537
2023-07-12,censoring,6.49505422476463
2023-07-13,non-censoring,93.8236344162799
2023-07-13,censoring,6.1763655837200995
2023-07-14,non-censoring,93.08837429111531
2023-07-14,censoring,6.911625708884688
2023-07-15,non-censoring,93.86363636363636
2023-07-15,censoring,6.136363636363637
2023-07-16,non-censoring,92.26560557075354
2023-07-16,censoring,7.734394429246456
2023-07-17,non-censoring,93.45042078302231
2023-07-17,censoring,6.54957921697768
2023-07-18,non-censoring,92.77743715511956
2023-07-18,censoring,7.222562844880441
2023-07-19,non-censoring,91.69121256750122
2023-07-19,censoring,8.308787432498772
2023-07-20,non-censoring,92.79883026684537
2023-07-20,censoring,7.201169733154623
2023-07-21,non-censoring,92.0898315658141
2023-07-21,censoring,7.910168434185902
2023-07-22,non-censoring,92.53290687661459
2023-07-22,censoring,7.46709312338541
2023-07-23,non-censoring,92.33161861466682
2023-07-23,censoring,7.668381385333174
2023-07-24,non-censoring,92.61370383564898
2023-07-24,censoring,7.386296164351028
2023-07-25,non-censoring,92.66423357664235
2023-07-25,censoring,7.335766423357665
2023-07-26,non-censoring,92.18636253336568
2023-07-26,censoring,7.813637466634312
2023-07-27,non-censoring,92.11313231996013
2023-07-27,censoring,7.88686768003987
2023-07-28,non-censoring,92.44214672575086
2023-07-28,censoring,7.557853274249138
2023-07-29,non-censoring,92.71611823759062
2023-07-29,censoring,7.2838817624093695
2023-07-30,non-censoring,93.28927879685541
2023-07-30,censoring,6.7107212031445815
2023-07-31,non-censoring,92.65015190465063
2023-07-31,censoring,7.3498480953493806
2023-08-01,non-censoring,93.14634944887045
2023-08-01,censoring,6.853650551129544
2023-08-02,non-censoring,92.84728854929428
2023-08-02,censoring,7.152711450705721
2023-08-03,non-censoring,92.90969186480434
