date,censoring,Share_of_Blocks
2023-08-13,non-censoring,61.452469674145725
2023-08-13,censoring,38.54753032585428
2023-08-14,non-censoring,61.73247381144239
2023-08-14,censoring,38.26752618855762
2023-08-15,non-censoring,63.67630611918836
2023-08-15,censoring,36.32369388081163
2023-08-16,non-censoring,63.20220171604338
2023-08-16,censoring,36.79779828395661
2023-08-17,non-censoring,62.035330261136714
2023-08-17,censoring,37.964669738863286
2023-08-18,non-censoring,62.327871374721134
2023-08-18,censoring,37.672128625278866
2023-08-19,non-censoring,60.546212004320324
2023-08-19,censoring,39.453787995679676
2023-08-20,non-censoring,60.42528056704075
2023-08-20,censoring,39.57471943295924
2023-08-21,non-censoring,62.633868808567605
2023-08-21,censoring,37.366131191432395
2023-08-22,non-censoring,62.9855232972075
2023-08-22,censoring,37.0144767027925
2023-08-23,non-censoring,63.56527290137248
2023-08-23,censoring,36.43472709862751
2023-08-24,non-censoring,62.23047152673564
2023-08-24,censoring,37.76952847326436
2023-08-25,non-censoring,61.74293672900916
2023-08-25,censoring,38.25706327099085
2023-08-26,non-censoring,58.54105279923548
2023-08-26,censoring,41.45894720076451
2023-08-27,non-censoring,58.904903909874086
