date,censoring,Share_of_Blocks
2023-01-16,censoring,46.05691056910569
2023-01-17,non-censoring,52.33973492020557
2023-01-17,censoring,47.66026507979443
2023-01-18,non-censoring,52.00542005420055
2023-01-18,censoring,47.99457994579946
2023-01-19,non-censoring,53.891891891891895
2023-01-19,censoring,46.10810810810811
2023-01-20,non-censoring,45.10206877654473
2023-01-20,censoring,54.89793122345527
2023-01-21,non-censoring,30.825010261321655
2023-01-21,censoring,69.17498973867833
2023-01-22,non-censoring,25.87105624142661
2023-01-22,censoring,74.12894375857339
2023-01-23,non-censoring,24.02615091255789
2023-01-23,censoring,75.97384908744212
2023-01-24,non-censoring,23.55327203893997
2023-01-24,censoring,76.44672796106003
2023-01-25,non-censoring,40.13273736963294
2023-01-25,censoring,59.86726263036706
2023-01-26,non-censoring,46.324121277166626
2023-01-26,censoring,53.67587872283338
2023-01-27,non-censoring,51.704317604598316
2023-01-27,censoring,48.295682395401684
2023-01-28,non-censoring,44.52073236402801
2023-01-28,censoring,55.47926763597199
2023-01-29,non-censoring,41.0049711137982
2023-01-29,censoring,58.99502888620181
2023-01-30,non-censoring,41.22842232035327
2023-01-30,censoring,58.771577679646725
2023-01-31,non-censoring,44.429584057777184
2023-01-31,censoring,55.570415942222816
2023-02-01,non-censoring,46.39147802929428
2023-02-01,censoring,53.60852197070572
2023-02-02,non-censoring,43.94486819215844
2023-02-02,censoring,56.05513180784156
2023-02-03,non-censoring,38.020413644910015
2023-02-03,censoring,61.97958635508998
2023-02-04,non-censoring,43.74069562863716
2023-02-04,censoring,56.25930437136284
2023-02-05,non-censoring,41.93288590604027
2023-02-05,censoring,58.067114093959724
2023-02-06,non-censoring,65.1212649068739
2023-02-06,censoring,34.87873509312609
2023-02-07,non-censoring,64.93906522030267
2023-02-07,censoring,35.060934779697334
2023-02-08,non-censoring,64.51006711409396
2023-02-08,censoring,35.489932885906036
2023-02-09,non-censoring,62.371829465731246
2023-02-09,censoring,37.628170534268754
2023-02-10,non-censoring,61.38600512336524
2023-02-10,censoring,38.61399487663476
2023-02-11,non-censoring,64.69409564520438
2023-02-11,censoring,35.30590435479562
2023-02-12,non-censoring,66.46052631578947
2023-02-12,censoring,33.53947368421053
2023-02-13,non-censoring,71.94976867151355
2023-02-13,censoring,28.050231328486454
2023-02-14,non-censoring,70.99973551970378
2023-02-14,censoring,29.000264480296217
2023-02-15,non-censoring,69.33738120380147
2023-02-15,censoring,30.662618796198522
2023-02-16,non-censoring,67.95557934171795
2023-02-16,censoring,32.04442065828205
2023-02-17,non-censoring,70.81204624899166
2023-02-17,censoring,29.187953751008333
2023-02-18,non-censoring,75.04628405183814
2023-02-18,censoring,24.95371594816186
2023-02-19,non-censoring,75.31027198310008
2023-02-19,censoring,24.68972801689992
2023-02-20,non-censoring,74.63564647680171
2023-02-20,censoring,25.36435352319829
2023-02-21,non-censoring,74.18322442992398
2023-02-21,censoring,25.81677557007601
2023-02-22,non-censoring,73.6696157401294
2023-02-22,censoring,26.33038425987059
2023-02-23,non-censoring,72.18803194971848
2023-02-23,censoring,27.81196805028152
2023-02-24,non-censoring,69.7055419827697
2023-02-24,censoring,30.294458017230298
2023-02-25,non-censoring,68.26984737719636
2023-02-25,censoring,31.730152622803644
2023-02-26,non-censoring,67.32761929128822
2023-02-26,censoring,32.672380708711785
2023-02-27,non-censoring,67.09619800969635
2023-02-27,censoring,32.90380199030365
2023-02-28,non-censoring,67.39992326384449
2023-02-28,censoring,32.60007673615552
2023-03-01,non-censoring,64.81012658227849
2023-03-01,censoring,35.189873417721515
2023-03-02,non-censoring,64.36581111387989
2023-03-02,censoring,35.634188886120114
2023-03-03,non-censoring,63.61364488316881
2023-03-03,censoring,36.38635511683119
2023-03-04,non-censoring,63.08252732068836
2023-03-04,censoring,36.91747267931164
2023-03-05,non-censoring,61.7375
2023-03-05,censoring,38.2625
2023-03-06,non-censoring,61.57927205428748
2023-03-06,censoring,38.42072794571252
2023-03-07,non-censoring,65.84846587351284
2023-03-07,censoring,34.151534126487164
2023-03-08,non-censoring,61.46665028866233
2023-03-08,censoring,38.53334971133767
2023-03-09,non-censoring,60.772058823529406
2023-03-09,censoring,39.22794117647059
2023-03-10,non-censoring,54.86938726375347
2023-03-10,censoring,45.13061273624654
2023-03-11,non-censoring,56.287985039738196
2023-03-11,censoring,43.712014960261804
2023-03-12,non-censoring,55.38224956063269
2023-03-12,censoring,44.61775043936731
2023-03-13,non-censoring,51.363846509477575
2023-03-13,censoring,48.636153490522425
2023-03-14,non-censoring,55.84355473270076
2023-03-14,censoring,44.15644526729924
2023-03-15,non-censoring,55.56506849315068
2023-03-15,censoring,44.43493150684932
2023-03-16,non-censoring,47.58702064896755
